group,mouse_id,day,fmt_donor_recipient,fmt_donor_id,donor_number,sex,mouse_genotype.x,sample_type.x,treatment,treatment_no_cd,treatment_fmt_only,exp_id_number,experiment,sample_date.x,cdiff_cfu,pos_d1_cdiff,ever_pos_cdiff,lipocalin_2
1245.f.d0,1245,0,NA,NA,NA,M,il10,feces,HhWT + sterile water  + control mAb,Hh+control,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210103,NA,no,no,NA
1245.f.dn7,1245,-7,NA,NA,NA,M,il10,feces,HhWT + sterile water  + control mAb,Hh+control,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20212202,NA,no,no,NA
1245.f.dn14,1245,-14,NA,NA,NA,M,il10,feces,HhWT + sterile water  + control mAb,Hh+control,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20211502,NA,no,no,NA
1245.f.dn21,1245,-21,NA,NA,NA,M,il10,feces,HhWT + sterile water  + control mAb,Hh+control,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210802,NA,no,no,NA
1245.f.dn28,1245,-28,NA,NA,NA,M,il10,feces,HhWT + sterile water  + control mAb,Hh+control,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210102,NA,no,no,NA
1245.f.dn35,1245,-35,NA,NA,NA,M,il10,feces,HhWT + sterile water  + control mAb,Hh+control,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20212501,NA,no,no,NA
1246.cec,1246,9,NA,NA,NA,M,il10,cecal.contents,HhWT + sterile water  + control mAb,Hh+control,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210310,0,no,no,NA
1246.col,1246,9,NA,NA,NA,M,il10,colon.contents,HhWT + sterile water  + control mAb,Hh+control,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210310,NA,no,NA,NA
1246.f.d7,1246,7,NA,NA,NA,M,il10,feces,HhWT + sterile water  + control mAb,Hh+control,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210308,0,no,no,NA
1246.f.d5,1246,5,NA,NA,NA,M,il10,feces,HhWT + sterile water  + control mAb,Hh+control,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210306,0,no,no,NA
1246.f.d3,1246,3,NA,NA,NA,M,il10,feces,HhWT + sterile water  + control mAb,Hh+control,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210304,0,no,no,NA
1246.f.d2,1246,2,NA,NA,NA,M,il10,feces,HhWT + sterile water  + control mAb,Hh+control,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210303,0,no,no,NA
1246.f.d1,1246,1,NA,NA,NA,M,il10,feces,HhWT + sterile water  + control mAb,Hh+control,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210203,0,no,no,NA
1246.f.d0,1246,0,NA,NA,NA,M,il10,feces,HhWT + sterile water  + control mAb,Hh+control,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210103,NA,no,no,NA
1246.f.dn14,1246,-14,NA,NA,NA,M,il10,feces,HhWT + sterile water  + control mAb,Hh+control,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20211502,NA,no,no,NA
1246.f.dn21,1246,-21,NA,NA,NA,M,il10,feces,HhWT + sterile water  + control mAb,Hh+control,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210802,NA,no,no,NA
1246.f.dn35,1246,-35,NA,NA,NA,M,il10,feces,HhWT + sterile water  + control mAb,Hh+control,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20212501,NA,no,no,NA
1247.cec,1247,9,NA,NA,NA,M,il10,cecal.contents,HhWT +  sterile water  + anti-p40,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210310,0,no,no,NA
1247.col,1247,9,NA,NA,NA,M,il10,colon.contents,HhWT +  sterile water  + anti-p40,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210310,NA,no,NA,NA
1247.f.d5,1247,5,NA,NA,NA,M,il10,feces,HhWT +  sterile water  + anti-p40,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210306,0,no,no,NA
1247.f.d3,1247,3,NA,NA,NA,M,il10,feces,HhWT +  sterile water  + anti-p40,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210304,0,no,no,NA
1247.f.d2,1247,2,NA,NA,NA,M,il10,feces,HhWT +  sterile water  + anti-p40,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210303,0,no,no,NA
1247.f.d1,1247,1,NA,NA,NA,M,il10,feces,HhWT +  sterile water  + anti-p40,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210203,0,no,no,NA
1247.f.d0,1247,0,NA,NA,NA,M,il10,feces,HhWT +  sterile water  + anti-p40,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210103,NA,no,no,NA
1247.f.dn7,1247,-7,NA,NA,NA,M,il10,feces,HhWT +  sterile water  + anti-p40,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20212202,NA,no,no,NA
1247.f.dn14,1247,-14,NA,NA,NA,M,il10,feces,HhWT +  sterile water  + anti-p40,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20211502,NA,no,no,NA
1247.f.dn21,1247,-21,NA,NA,NA,M,il10,feces,HhWT +  sterile water  + anti-p40,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20211502,NA,no,no,NA
1247.f.dn28,1247,-28,NA,NA,NA,M,il10,feces,HhWT +  sterile water  + anti-p40,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210102,NA,no,no,NA
1247.f.dn35,1247,-35,NA,NA,NA,M,il10,feces,HhWT +  sterile water  + anti-p40,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20212501,NA,no,no,NA
1248.cec,1248,9,NA,NA,NA,M,il10,cecal.contents,HhWT +  sterile water  + anti-p40,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210310,0,no,no,NA
1248.col,1248,9,NA,NA,NA,M,il10,colon.contents,HhWT +  sterile water  + anti-p40,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210310,NA,no,NA,NA
1248.f.d7,1248,7,NA,NA,NA,M,il10,feces,HhWT +  sterile water  + anti-p40,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210308,0,no,no,NA
1248.f.d5,1248,5,NA,NA,NA,M,il10,feces,HhWT +  sterile water  + anti-p40,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210306,0,no,no,NA
1248.f.d3,1248,3,NA,NA,NA,M,il10,feces,HhWT +  sterile water  + anti-p40,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210304,0,no,no,NA
1248.f.d2,1248,2,NA,NA,NA,M,il10,feces,HhWT +  sterile water  + anti-p40,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210303,0,no,no,NA
1248.f.d1,1248,1,NA,NA,NA,M,il10,feces,HhWT +  sterile water  + anti-p40,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210203,0,no,no,NA
1248.f.d0,1248,0,NA,NA,NA,M,il10,feces,HhWT +  sterile water  + anti-p40,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210103,NA,no,no,706.4
1248.f.dn7,1248,-7,NA,NA,NA,M,il10,feces,HhWT +  sterile water  + anti-p40,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20212202,NA,no,no,NA
1248.f.dn14,1248,-14,NA,NA,NA,M,il10,feces,HhWT +  sterile water  + anti-p40,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20211502,NA,no,no,NA
1248.f.dn21,1248,-21,NA,NA,NA,M,il10,feces,HhWT +  sterile water  + anti-p40,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210802,NA,no,no,NA
1248.f.dn28,1248,-28,NA,NA,NA,M,il10,feces,HhWT +  sterile water  + anti-p40,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210102,NA,no,no,NA
1249.cec,1249,9,NA,NA,NA,M,il10,cecal.contents,HhWT + VPI spores + anti-p40 ,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210310,0,no,no,NA
1249.col,1249,9,NA,NA,NA,M,il10,colon.contents,HhWT + VPI spores + anti-p40 ,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210310,NA,no,NA,NA
1249.f.d7,1249,7,NA,NA,NA,M,il10,feces,HhWT + VPI spores + anti-p40 ,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210308,0,no,no,NA
1249.f.d5,1249,5,NA,NA,NA,M,il10,feces,HhWT + VPI spores + anti-p40 ,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210306,0,no,no,NA
1249.f.d3,1249,3,NA,NA,NA,M,il10,feces,HhWT + VPI spores + anti-p40 ,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210304,0,no,no,NA
1249.f.d2,1249,2,NA,NA,NA,M,il10,feces,HhWT + VPI spores + anti-p40 ,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210303,0,no,no,NA
1249.f.d1,1249,1,NA,NA,NA,M,il10,feces,HhWT + VPI spores + anti-p40 ,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210203,0,no,no,NA
1249.f.d0,1249,0,NA,NA,NA,M,il10,feces,HhWT + VPI spores + anti-p40 ,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210103,NA,no,no,65.2
1249.f.dn7,1249,-7,NA,NA,NA,M,il10,feces,HhWT + VPI spores + anti-p40 ,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20212202,NA,no,no,NA
1249.f.dn14,1249,-14,NA,NA,NA,M,il10,feces,HhWT + VPI spores + anti-p40 ,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20211502,NA,no,no,NA
1249.f.dn21,1249,-21,NA,NA,NA,M,il10,feces,HhWT + VPI spores + anti-p40 ,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210802,NA,no,no,NA
1249.f.dn35,1249,-35,NA,NA,NA,M,il10,feces,HhWT + VPI spores + anti-p40 ,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20212501,NA,no,no,NA
1250.cec,1250,9,NA,NA,NA,M,il10,cecal.contents,HhWT + VPI spores + anti-p40 ,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210310,0,no,no,NA
1250.col,1250,9,NA,NA,NA,M,il10,colon.contents,HhWT + VPI spores + anti-p40 ,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210310,NA,no,NA,NA
1250.f.d7,1250,7,NA,NA,NA,M,il10,feces,HhWT + VPI spores + anti-p40 ,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210308,0,no,no,NA
1250.f.d5,1250,5,NA,NA,NA,M,il10,feces,HhWT + VPI spores + anti-p40 ,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210306,0,no,no,NA
1250.f.d3,1250,3,NA,NA,NA,M,il10,feces,HhWT + VPI spores + anti-p40 ,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210304,0,no,no,NA
1250.f.d2,1250,2,NA,NA,NA,M,il10,feces,HhWT + VPI spores + anti-p40 ,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210303,0,no,no,NA
1250.f.d1,1250,1,NA,NA,NA,M,il10,feces,HhWT + VPI spores + anti-p40 ,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210203,0,no,no,NA
1250.f.d0,1250,0,NA,NA,NA,M,il10,feces,HhWT + VPI spores + anti-p40 ,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210203,0,no,no,43.1
1250.f.dn7,1250,-7,NA,NA,NA,M,il10,feces,HhWT + VPI spores + anti-p40 ,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20212202,NA,no,no,NA
1250.f.dn14,1250,-14,NA,NA,NA,M,il10,feces,HhWT + VPI spores + anti-p40 ,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20211502,NA,no,no,NA
1250.f.dn21,1250,-21,NA,NA,NA,M,il10,feces,HhWT + VPI spores + anti-p40 ,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210802,NA,no,no,NA
1250.f.dn28,1250,-28,NA,NA,NA,M,il10,feces,HhWT + VPI spores + anti-p40 ,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210102,NA,no,no,NA
1250.f.dn35,1250,-35,NA,NA,NA,M,il10,feces,HhWT + VPI spores + anti-p40 ,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20212501,NA,no,no,NA
1251.cec,1251,9,NA,NA,NA,M,il10,cecal.contents,HhWT + VPI spores + anti-p40 ,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210310,0,no,no,NA
1251.col,1251,9,NA,NA,NA,M,il10,colon.contents,HhWT + VPI spores + anti-p40 ,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210310,NA,no,NA,NA
1251.f.d7,1251,7,NA,NA,NA,M,il10,feces,HhWT + VPI spores + anti-p40 ,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210304,0,no,no,NA
1251.f.d3,1251,3,NA,NA,NA,M,il10,feces,HhWT + VPI spores + anti-p40 ,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210304,0,no,no,NA
1251.f.d2,1251,2,NA,NA,NA,M,il10,feces,HhWT + VPI spores + anti-p40 ,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210303,0,no,no,NA
1251.f.d1,1251,1,NA,NA,NA,M,il10,feces,HhWT + VPI spores + anti-p40 ,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210203,0,no,no,NA
1251.f.d0,1251,0,NA,NA,NA,M,il10,feces,HhWT + VPI spores + anti-p40 ,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210103,NA,no,no,NA
1251.f.dn7,1251,-7,NA,NA,NA,M,il10,feces,HhWT + VPI spores + anti-p40 ,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20212202,NA,no,no,NA
1251.f.dn14,1251,-14,NA,NA,NA,M,il10,feces,HhWT + VPI spores + anti-p40 ,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20211502,NA,no,no,NA
1251.f.dn21,1251,-21,NA,NA,NA,M,il10,feces,HhWT + VPI spores + anti-p40 ,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210802,NA,no,no,NA
1251.f.dn28,1251,-28,NA,NA,NA,M,il10,feces,HhWT + VPI spores + anti-p40 ,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210102,NA,no,no,NA
1251.f.dn35,1251,-35,NA,NA,NA,M,il10,feces,HhWT + VPI spores + anti-p40 ,Hh+p40,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20212501,NA,no,no,NA
1255.cec,1255,9,NA,NA,NA,M,il10,cecal.contents,Sterile broth +  VPI spores + control mAb,Hh+control,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210310,0,no,no,NA
1255.col,1255,9,NA,NA,NA,M,il10,colon.contents,Sterile broth +  VPI spores + control mAb,,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210310,NA,no,NA,NA
1255.f.d7,1255,7,NA,NA,NA,M,il10,feces,Sterile broth +  VPI spores + control mAb,,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210308,0,no,no,NA
1255.f.d5,1255,5,NA,NA,NA,M,il10,feces,Sterile broth +  VPI spores + control mAb,,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210306,0,no,no,NA
1255.f.d3,1255,3,NA,NA,NA,M,il10,feces,Sterile broth +  VPI spores + control mAb,,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210304,0,no,no,NA
1255.f.d2,1255,2,NA,NA,NA,M,il10,feces,Sterile broth +  VPI spores + control mAb,,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210303,0,no,no,NA
1255.f.d1,1255,1,NA,NA,NA,M,il10,feces,Sterile broth +  VPI spores + control mAb,,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210203,0,no,no,NA
1255.f.d0,1255,0,NA,NA,NA,M,il10,feces,Sterile broth +  VPI spores + control mAb,,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210103,NA,no,no,NA
1255.f.dn7,1255,-7,NA,NA,NA,M,il10,feces,Sterile broth +  VPI spores + control mAb,,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20212202,NA,no,no,NA
1255.f.dn14,1255,-14,NA,NA,NA,M,il10,feces,Sterile broth +  VPI spores + control mAb,,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20211502,NA,no,no,NA
1255.f.dn21,1255,-21,NA,NA,NA,M,il10,feces,Sterile broth +  VPI spores + control mAb,,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210802,NA,no,no,NA
1255.f.dn28,1255,-28,NA,NA,NA,M,il10,feces,Sterile broth +  VPI spores + control mAb,,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210102,NA,no,no,NA
1255.f.dn35,1255,-35,NA,NA,NA,M,il10,feces,Sterile broth +  VPI spores + control mAb,,NA,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20212501,NA,no,no,NA
1261.cec,1261,0,NA,NA,NA,F,il10,cecal.contents,No_treatment_controls (sterile broth + water + mAb vehicle),No treatment,NA,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20210305,NA,no,no,NA
1261.col.tiss,1261,0,NA,NA,NA,F,il10,colon.tissue,No_treatment_controls (sterile broth + water + mAb vehicle),No treatment,NA,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20210305,NA,no,no,NA
1261.d0,1261,0,NA,NA,NA,F,il10,feces,No_treatment_controls (sterile broth + water + mAb vehicle),No treatment,NA,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20210305,NA,no,no,15
1261.dn35,1261,-35,NA,NA,NA,F,il10,feces,No_treatment_controls (sterile broth + water + mAb vehicle),No treatment,NA,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20212903,NA,no,no,13.4
1266.cec,1266,0,NA,NA,NA,F,il10,cecal.contents,HhWT + anti-p40  mAb,Hh+p40,NA,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20210305,NA,NA,no,NA
1266.col,1266,0,NA,NA,NA,F,il10,colon.contents,HhWT + anti-p40  mAb,Hh+p40,NA,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20210305,NA,NA,no,NA
1266.col.tiss,1266,0,NA,NA,NA,F,il10,colon.tissue,HhWT + anti-p40  mAb,Hh+p40,NA,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20210305,NA,NA,no,NA
1275.dn21,1266,-21,NA,NA,NA,F,il10,feces,HhWT + anti-p40  mAb,Hh+p40,NA,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20211204,NA,NA,no,2123
1266.d0,1266,0,NA,NA,NA,F,il10,feces,HhWT + anti-p40 mAb,Hh+p40,NA,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20210305,NA,NA,no,2.5
1267.cec,1267,0,NA,NA,NA,F,il10,cecal.contents,HhWT + anti-p40  mAb,Hh+p40,NA,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20210305,NA,NA,no,NA
1267.col,1267,0,NA,NA,NA,F,il10,colon.contents,HhWT + anti-p40  mAb,Hh+p40,NA,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20210305,NA,NA,no,NA
1267.col.tiss,1267,0,NA,NA,NA,F,il10,colon.tissue,HhWT + anti-p40  mAb,Hh+p40,NA,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20210305,NA,NA,no,NA
1277.dn21,1267,-21,NA,NA,NA,F,il10,feces,HhWT + anti-p40  mAb,Hh+p40,NA,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20211204,NA,NA,no,2570.3
1267.dn35,1267,-35,NA,NA,NA,F,il10,feces,HhWT + anti-p40  mAb,Hh+p40,NA,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20212903,NA,NA,no,3.2
1267.d0,1267,0,NA,NA,NA,F,il10,feces,HhWT + anti-p40 mAb,Hh+p40,NA,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20210305,NA,NA,no,77.8
1268.cec,1268,0,NA,NA,NA,F,il10,cecal.contents,HhWT + anti-p40  mAb,Hh+p40,NA,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20210305,NA,NA,no,NA
1268.col,1268,0,NA,NA,NA,F,il10,colon.contents,HhWT + anti-p40  mAb,Hh+p40,NA,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20210305,NA,NA,no,NA
1268.col.tiss,1268,0,NA,NA,NA,F,il10,colon.tissue,HhWT + anti-p40  mAb,Hh+p40,NA,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20210305,NA,NA,no,NA
1266.dn21,1268,-21,NA,NA,NA,F,il10,feces,HhWT + anti-p40  mAb,Hh+p40,NA,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20211204,NA,NA,no,2356.8
1268.dn35,1268,-35,NA,NA,NA,F,il10,feces,HhWT + anti-p40  mAb,Hh+p40,NA,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20212903,NA,NA,no,27.7
1269.cec,1269,0,NA,NA,NA,M,il10,cecal.contents,HhWT + isotype control mAb,Hh+control,NA,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20210305,NA,NA,no,NA
1269.col,1269,0,NA,NA,NA,M,il10,colon.contents,HhWT + isotype control mAb,Hh+control,NA,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20210305,NA,NA,no,NA
1269.col.tiss,1269,0,NA,NA,NA,M,il10,colon.tissue,HhWT + isotype control mAb,Hh+control,NA,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20210305,NA,NA,no,NA
1269.d0,1269,0,NA,NA,NA,M,il10,feces,HhWT + isotype control mAb,Hh+control,NA,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20210305,NA,NA,no,18.9
1269.dn35,1269,-35,NA,NA,NA,M,il10,feces,HhWT + isotype control mAb,Hh+control,NA,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20212903,NA,NA,no,1.1
1270.cec,1270,0,NA,NA,NA,M,il10,cecal.contents,HhWT + isotype control mAb,Hh+control,NA,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20210305,NA,NA,no,NA
1270.col,1270,0,NA,NA,NA,M,il10,colon.contents,HhWT + isotype control mAb,Hh+control,NA,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20210305,NA,NA,no,NA
1270.col.tiss,1270,0,NA,NA,NA,M,il10,colon.tissue,HhWT + isotype control mAb,Hh+control,NA,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20210305,NA,NA,no,NA
1270.d0,1270,0,NA,NA,NA,M,il10,feces,HhWT + isotype control mAb,Hh+control,NA,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20210305,NA,NA,no,4398.1
1270.dn21,1270,-21,NA,NA,NA,M,il10,feces,HhWT + isotype control mAb,Hh+control,NA,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20211204,NA,NA,no,4803
1271.cec,1271,0,NA,NA,NA,M,il10,cecal.contents,HhWT + isotype control mAb,Hh+control,NA,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20210305,NA,NA,no,NA
1271.col,1271,0,NA,NA,NA,M,il10,colon.contents,HhWT + isotype control mAb,Hh+control,NA,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20210305,NA,NA,no,NA
1271.col.tiss,1271,0,NA,NA,NA,M,il10,colon.tissue,HhWT + isotype control mAb,Hh+control,NA,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20210305,NA,NA,no,NA
1271.d0,1271,0,NA,NA,NA,M,il10,feces,HhWT + isotype control mAb,Hh+control,NA,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20210305,NA,NA,no,10757.3
1271.dn21,1271,-21,NA,NA,NA,M,il10,feces,HhWT + isotype control mAb,Hh+control,NA,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20211204,NA,NA,no,3187.8
1271.dn35,1271,-35,NA,NA,NA,M,il10,feces,HhWT + isotype control mAb,Hh+control,NA,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20212903,NA,NA,no,34.7
1272.cec,1272,0,NA,NA,NA,F,il10,cecal.contents,HhWT + isotype control mAb,Hh+control,NA,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20210305,NA,NA,no,NA
1272.col,1272,0,NA,NA,NA,F,il10,colon.contents,HhWT + isotype control mAb,Hh+control,NA,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20210305,NA,NA,no,NA
1272.col.tiss,1272,0,NA,NA,NA,F,il10,colon.tissue,HhWT + isotype control mAb,Hh+control,NA,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20210305,NA,NA,no,NA
1272.dn21,1272,-21,NA,NA,NA,F,il10,feces,HhWT + isotype control mAb,Hh+control,NA,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20211204,NA,NA,no,4161.1
1272.dn35,1272,-35,NA,NA,NA,F,il10,feces,HhWT + isotype control mAb,Hh+control,NA,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20212903,NA,NA,no,10
1273.cec,1273,0,NA,NA,NA,F,il10,cecal.contents,HhWT + isotype control mAb,Hh+control,NA,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20210305,NA,NA,no,NA
1273.col,1273,0,NA,NA,NA,F,il10,colon.contents,HhWT + isotype control mAb,Hh+control,NA,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20210305,NA,NA,no,NA
1273.col.tiss,1273,0,NA,NA,NA,F,il10,colon.tissue,HhWT + isotype control mAb,Hh+control,NA,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20210305,NA,NA,no,NA
1273.d0,1273,0,NA,NA,NA,F,il10,feces,HhWT + isotype control mAb,Hh+control,NA,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20210305,NA,NA,no,NA
